Sheet,Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
04 Admissions,Application,DB,models/AdmissionApplication.js,DB,"personal, academic, program_preferences[], category_id, cycle_id, status, merit_score?.",Not Started,Arnav,Critical,Phase 1,
04 Admissions,Application,Backend,POST/GET/PUT /api/admissions/applications,Backend,Register application; list/filter by cycle/status.,Not Started,Arnav,Critical,Phase 1,
04 Admissions,Documents,Backend,Document upload + verification endpoints,Backend,Upload files; verify/reject checklist items; AI OCR stub hook for authenticity/completeness.,Not Started,Arnav,High,Phase 1,AI: OCR stub — flag Phase 2 for real OCR.
04 Admissions,Eligibility,Backend,Eligibility validation service,Backend,Validate applicant vs program criteria; set Eligible/Ineligible.,Not Started,Arnav,Critical,Phase 1,
04 Admissions,Merit,Backend,Merit list generation,Backend,Rank by merit_score + category quotas; generate MeritList records.,Not Started,Arnav,Critical,Phase 1,
04 Admissions,Counseling,Backend,Seat allocation / counseling,Backend,Allot seats against IntakeCapacity; waitlist overflow.,Not Started,Arnav,Critical,Phase 1,
04 Admissions,Approval,Backend,Admission approval action,Backend,Committee approve/reject allotted seat; audit log.,Not Started,Arnav,Critical,Phase 1,
04 Admissions,Fee confirm,Backend,Fee payment confirmation → enrollment trigger,Backend,"On fee.paid (Fees API), convert applicant → Student; generate roll_no + student_id.",Not Started,Arnav,Critical,Phase 1,Contract: admission.enrolled.
04 Admissions,Enrollment,Backend,Student enrollment service,Backend,Create Student from application; no re-entry of personal data.,Not Started,Arnav,Critical,Phase 1,
04 Admissions,Transactions UI,Frontend,"Application list, detail, verify, allot, approve screens",Frontend,pages/admissions/transactions/* workflow screens.,Not Started,Arnav,Critical,Phase 1,
04 Admissions,Reports,Backend/UI,"Admission Summary, Application Status, Seat Availability, Pending, Merit List, Conversion",All,Filter by cycle/program; export CSV; charts where useful.,Not Started,Arnav,High,Phase 2,Maps client: Student admission reports.
04 Admissions,Dashboard,Frontend,Admissions mini-dashboard widgets,Frontend,"Applications today, pending verify, seats left, conversion %.",Not Started,Arnav,Medium,Phase 2,
05 Students,Students,Frontend,Students ModuleShell + Masters card grid,Frontend,"Masters cards: Categories, Status, Parent Relationship, Hostel Types, Transport Routes, Groups, Clubs.",Not Started,Arnav,Critical,Phase 1,
05 Students,Student masters,DB,"Category, Status, HostelType, TransportRoute, StudentGroup, Club models",DB,Config masters per functional spec.,Not Started,Arnav,Critical,Phase 1,
05 Students,Student masters,Backend/UI,CRUD APIs + pages for student masters,All,pages/students/masters/*.,Not Started,Arnav,High,Phase 1,
05 Students,Student,DB,models/Student.js,DB,"student_id, roll_no, application_id?, personal, guardian[], program_id, academic_year_id, status, category_id, documents[].",Not Started,Arnav,Critical,Phase 1,Single owner — Precious reads via API only.
05 Students,Student,Backend,CRUD /api/students + profile endpoints,Backend,"Profile update, document management, search/directory.",Not Started,Arnav,Critical,Phase 1,
05 Students,Student,Frontend,"StudentList, StudentProfile, DocumentManager",Frontend,"Directory + profile tabs (personal, academic, guardian, docs).",Not Started,Arnav,Critical,Phase 1,
05 Students,Hostel,DB/API/UI,Hostel allocation,All,Allocate hostel type/room; vacate; report.,Not Started,Arnav,Medium,Phase 2,
05 Students,Transport,DB/API/UI,Transport allocation,All,Assign route; report.,Not Started,Arnav,Medium,Phase 2,
05 Students,Medical,DB/API/UI,Medical records stub,All,Basic medical note records on student.,Not Started,Arnav,Low,Phase 3,
05 Students,Promotion,Backend/UI,Semester promotion,All,Promote based on Academics/Exams results signal; update semester standing.,Not Started,Arnav,Critical,Phase 2,Consumes result.published / academics promotion contract from Precious.
05 Students,Transfer,Backend/UI,Student transfer,All,Transfer program/campus fields; audit.,Not Started,Arnav,Medium,Phase 2,
05 Students,Alumni,Backend/UI,Alumni conversion,All,On graduation criteria → status Alumni; alumni directory.,Not Started,Arnav,High,Phase 2,
05 Students,Semester reg handoff,Backend,Expose enrolled students for Academics registration,Backend,GET students by program/semester for Precious Academics.,Not Started,Arnav,Critical,Phase 1,
05 Students,Reports,All,"Directory, Strength, Attendance Summary (read), Hostel, Transport, Alumni",All,Attendance summary may call Academics attendance API (Precious) read-only.,Not Started,Arnav,High,Phase 2,Client: student records MIS.
06 Faculty,Faculty,Frontend,Faculty ModuleShell + Masters card grid,Frontend,"Cards: Departments (read-only link), Designations, Faculty Types, Qualifications, Subject Masters, Workload Rules. Match WTI Faculty Master card tone.",Not Started,Precious,Critical,Phase 1,Do not edit Department model — consume Arnav API.
06 Faculty,Designation,DB,models/Designation.js,DB,"name, code, is_active.",Not Started,Precious,Critical,Phase 1,
06 Faculty,Faculty Type,DB,models/FacultyType.js,DB,Permanent/Visiting/Trainer etc.,Not Started,Precious,High,Phase 1,
06 Faculty,Qualification,DB,models/QualificationMaster.js,DB,degree/cert list for faculty profiles.,Not Started,Precious,Medium,Phase 1,
06 Faculty,Subject Master,DB,models/Subject.js,DB,"name, code, program_id, theory/practical flag, credits — WTI Subject Master.",Not Started,Precious,Critical,Phase 1,Arnav Admissions does not own subjects.
06 Faculty,Workload Rules,DB,models/WorkloadRule.js,DB,"max_hours_per_week, designation_id?, rules_json.",Not Started,Precious,High,Phase 1,
06 Faculty,Masters,Backend/UI,CRUD for faculty masters + Subject,All,academicRoutes; pages/faculty/masters/*.,Not Started,Precious,Critical,Phase 1,
06 Faculty,Faculty,DB,models/Faculty.js,DB,"employee_code, personal, department_id, designation_id, type_id, qualifications[], subjects[], user_id?, is_active.",Not Started,Precious,Critical,Phase 1,WTI Faculty Master profiles.
06 Faculty,Faculty,Backend/UI,Faculty registration CRUD + directory,All,"Register, map department/designation, link optional User.",Not Started,Precious,Critical,Phase 1,
06 Faculty,Subject allocation,Backend/UI,Assign subjects to faculty,All,Respect workload rules + specialization.,Not Started,Precious,Critical,Phase 1,
06 Faculty,Timetable assign,Backend,API for Academics to attach faculty to slots,Backend,Expose faculty availability helpers used by Academics timetable.,Not Started,Precious,Critical,Phase 1,Same owner as Academics — ok to share services.
06 Faculty,Attendance,Backend/UI,Faculty attendance / punch or mark,All,Daily faculty attendance records.,Not Started,Precious,High,Phase 2,Client: Faculty and attendance reports.
06 Faculty,Leave,Backend/UI,Leave management,All,Apply/approve leave; block timetable conflicts later.,Not Started,Precious,High,Phase 2,
06 Faculty,Performance,Backend/UI,Performance evaluation stub,All,Periodic rating records + dashboard widgets.,Not Started,Precious,Medium,Phase 3,
06 Faculty,Research/Training,Backend/UI,Research & training records,All,Publications + training log on faculty profile.,Not Started,Precious,Low,Phase 3,
06 Faculty,Reports,All,"Faculty Directory, Workload, Attendance, Leave, Performance Dashboard",All,pages/faculty/reports/*.,Not Started,Precious,High,Phase 2,
07 Academics,Academics,Frontend,Academics ModuleShell + Masters cards,Frontend,"Programs (read), Semesters, Subjects (link), Curriculum, Credits, Academic Calendar, Classrooms, TimeSlots, Batches — WTI Batch/Classroom/Semester parity.",Not Started,Precious,Critical,Phase 1,
07 Academics,Semester,DB,models/Semester.js,DB,"name, number, academic_year_id, start/end, is_active — WTI Semester master.",Not Started,Precious,Critical,Phase 1,
07 Academics,Batch,DB,models/Batch.js,DB,"name, program_id, academic_year_id, semester_id?, capacity — WTI Batch Master.",Not Started,Precious,Critical,Phase 1,
07 Academics,Classroom,DB,models/Classroom.js,DB,"name, type (classroom|lab|workshop), capacity — WTI Classroom master.",Not Started,Precious,Critical,Phase 1,
07 Academics,Time Slot,DB,models/TimeSlot.js,DB,"label, start_time, end_time, day_optional.",Not Started,Precious,Critical,Phase 1,
07 Academics,Curriculum,DB,models/Curriculum.js + CurriculumSubject,DB,"program_id, semester_id, subject_id, credits, is_elective.",Not Started,Precious,Critical,Phase 1,
07 Academics,Academic Calendar,DB,models/AcademicCalendarEvent.js,DB,"events: term start/end, holidays, exam windows.",Not Started,Precious,High,Phase 1,
07 Academics,Masters,Backend/UI,CRUD APIs + pages for academics masters,All,academicRoutes; pages/academics/masters/*.,Not Started,Precious,Critical,Phase 1,
07 Academics,Registration,Backend/UI,Semester + subject registration,All,Register student (from Arnav Students API) into semester subjects.,Not Started,Precious,Critical,Phase 1,Consume Students API — no Student model edits.
07 Academics,Batch allocation,Backend/UI,Allocate students to batches,All,Batch membership records.,Not Started,Precious,Critical,Phase 1,
07 Academics,Timetable,DB,models/TimetableSlot.js,DB,"batch_id, subject_id, faculty_id, classroom_id, day, time_slot_id.",Not Started,Precious,Critical,Phase 1,
07 Academics,Timetable,Backend,AI-assisted conflict-free timetable generator,Backend,Detect faculty/classroom/batch conflicts; generate draft; publish.,Not Started,Precious,Critical,Phase 2,AI capability per functional spec.
07 Academics,Timetable,Frontend,Timetable grid UI + publish,Frontend,Weekly grid; conflict highlights.,Not Started,Precious,Critical,Phase 2,
07 Academics,Attendance,DB/API/UI,Student class attendance,All,Mark per timetable slot; store attendance records.,Not Started,Precious,Critical,Phase 1,Client faculty/attendance reports feed.
07 Academics,Assignments/IA,Backend/UI,Assignment creation + internal assessments,All,Internal marks components before Exams module finals.,Not Started,Precious,High,Phase 2,
07 Academics,Reports,All,"Timetable, Attendance, Academic Progress, Course Completion, Class Utilization",All,pages/academics/reports/*.,Not Started,Precious,High,Phase 2,Client: scheduling + institutional MIS pieces.
08 LMS,LMS,Frontend,LMS ModuleShell + Masters cards,Frontend,"Course Categories, Learning Paths, Assignment Templates, Quiz Templates, Assessment Types.",Not Started,Precious,Critical,Phase 2,
08 LMS,LMS masters,DB,"Category, LearningPath, AssignmentTemplate, QuizTemplate, AssessmentType",DB,Config masters per spec.,Not Started,Precious,High,Phase 2,
08 LMS,LMS masters,Backend/UI,CRUD + master pages,All,pages/lms/masters/*.,Not Started,Precious,High,Phase 2,
08 LMS,Course,DB,models/LmsCourse.js,DB,"title, subject_id?, faculty_id, modules/topics, objectives, published.",Not Started,Precious,Critical,Phase 2,
08 LMS,Content,Backend/UI,Content upload + publish,All,Files/links/videos metadata; publish to enrolled students.,Not Started,Precious,Critical,Phase 2,
08 LMS,Enrollment sync,Backend,Enroll students from Academics batch/subject,Backend,Pull registered students via Academics/Students APIs.,Not Started,Precious,Critical,Phase 2,
08 LMS,Assignment/Quiz,Backend/UI,Create assignments & quizzes; student submission,All,Submission records; due dates.,Not Started,Precious,Critical,Phase 2,
08 LMS,Forums/Live,Backend/UI,Discussion forums + live class stub,All,Forum threads; live class link stub (Zoom/Meet URL).,Not Started,Precious,Medium,Phase 3,
08 LMS,Evaluation,Backend/UI,Evaluate submissions + AI-assist stub,All,Scores + feedback; AI grading assist stub.,Not Started,Precious,High,Phase 2,
08 LMS,Progress,Backend,Learning progress + course completion,Backend,Realtime progress %; completion status.,Not Started,Precious,Critical,Phase 2,
08 LMS,Reports,All,"Learning Progress, Course Completion, Assignment Status, Quiz Analytics, Engagement",All,pages/lms/reports/*.,Not Started,Precious,High,Phase 2,
09 Exams,Exams,Frontend,Exams ModuleShell + Masters cards,Frontend,"Exam Types, Grading Scheme, Passing Rules, Evaluation Rules, Result Templates.",Not Started,Precious,Critical,Phase 2,
09 Exams,Exam masters,DB,"ExamType, GradingScheme, PassingRule, EvaluationRule, ResultTemplate",DB,Config per functional spec.,Not Started,Precious,Critical,Phase 2,
09 Exams,Exam masters,Backend/UI,CRUD + pages,All,pages/exams/masters/*.,Not Started,Precious,Critical,Phase 2,
09 Exams,Schedule,DB/API/UI,Exam scheduling,All,"Dates, subjects, rules; publish to students.",Not Started,Precious,Critical,Phase 2,
09 Exams,Hall ticket,Backend/UI,Hall ticket generation,All,Eligible students; PDF/print stub; center/seating info.,Not Started,Precious,Critical,Phase 2,
09 Exams,Seating,Backend/UI,Seating arrangement,All,Allocate seats/rooms for exam sessions.,Not Started,Precious,High,Phase 2,
09 Exams,Marks,Backend/UI,Theory + practical mark entry,All,Faculty/evaluator entry; lock after submit.,Not Started,Precious,Critical,Phase 2,
09 Exams,Results,Backend,Result processing vs grading/passing rules,Backend,Compute grades; backlog flags.,Not Started,Precious,Critical,Phase 2,
09 Exams,Publish,Backend/UI,Publish results + notify student record,All,Emit result.published for Students/Academics promotion consumers.,Not Started,Precious,Critical,Phase 2,Contract for Arnav promotion.
09 Exams,Revaluation,Backend/UI,Revaluation workflow,All,Request → re-enter marks → revise result.,Not Started,Precious,Medium,Phase 3,
09 Exams,Transcript/Certificate,Backend/UI,Transcript + certificate generation,All,PDF stubs; store documents on student via API or local exam docs table referencing student_id.,Not Started,Precious,High,Phase 2,Client: certification and examination management.
09 Exams,Reports,All,"Result Analysis, Grade Distribution, Pass %, Subject Analysis, Topper, Backlog",All,pages/exams/reports/*.,Not Started,Precious,High,Phase 2,
10 Fees,Fees,Frontend,Fees ModuleShell + Masters cards,Frontend,"Fee Structure, Fee Heads, Payment Modes, Installments, Scholarships, Fine/Penalty, Tax, Refund Policies.",Not Started,Arnav,Critical,Phase 1,Client billing→receipt + auto email.
10 Fees,Fee Head,DB,models/FeeHead.js,DB,"name, code, tax_applicable, is_active.",Not Started,Arnav,Critical,Phase 1,
10 Fees,Fee Structure,DB,models/FeeStructure.js,DB,"program_id, academic_year_id, heads[], installment_plan_id?, total.",Not Started,Arnav,Critical,Phase 1,
10 Fees,Payment Mode,DB,models/PaymentMode.js,DB,"cash, UPI, card, bank, online gateway stub.",Not Started,Arnav,High,Phase 1,
10 Fees,Installment Plan,DB,models/InstallmentPlan.js,DB,schedule JSON: due dates / percentages.,Not Started,Arnav,High,Phase 1,
10 Fees,Fine/Tax/Refund,DB,"FineRule, TaxConfig, RefundPolicy models",DB,Per functional spec masters.,Not Started,Arnav,High,Phase 1,
10 Fees,Masters,Backend/UI,CRUD + fee master pages,All,pages/fees/masters/*.,Not Started,Arnav,Critical,Phase 1,
10 Fees,Assignment,Backend/UI,Generate + assign fees to students,All,Map structure to enrolled students; admission fee assignment.,Not Started,Arnav,Critical,Phase 1,
10 Fees,Collection,DB,models/FeePayment.js + StudentFeeLedger,DB,Payments online/offline; installment tracking; outstanding.,Not Started,Arnav,Critical,Phase 1,
10 Fees,Collection,Backend/UI,Collect payment screens + APIs,All,Record payment; update ledger.,Not Started,Arnav,Critical,Phase 1,
10 Fees,Receipt,Backend,Auto receipt generation on successful payment,Backend,Digital receipt number; PDF stub; store electronic record.,Not Started,Arnav,Critical,Phase 1,Client process note requirement.
10 Fees,Tax Invoice,Backend,Tax Invoice generation on payment confirmation,Backend,Generate tax invoice; email invoice + receipt to registered email (mailer).,Not Started,Arnav,Critical,Phase 2,Client automated communication.
10 Fees,Scholarship/Fine,Backend/UI,Scholarship adjustment + fine calculation,All,Adjust dues; apply fines per rules.,Not Started,Arnav,High,Phase 2,
10 Fees,Refund,Backend/UI,Refund processing,All,Refund workflow + policy checks; audit.,Not Started,Arnav,High,Phase 2,
10 Fees,Outstanding,Backend/UI,Outstanding fee management,All,"Lists, reminders stub, block hall ticket flag API for Exams consumer.",Not Started,Arnav,High,Phase 2,Precious Exams reads dues flag via API.
10 Fees,Admission bridge,Backend,Admission fee payment confirmation API,Backend,Endpoint/event used by Admissions enrollment step.,Not Started,Arnav,Critical,Phase 1,Same owner — internal contract.
10 Fees,Reports,All,"Collection, Outstanding, Daily Collection, Student Ledger, Scholarship, Refund, Revenue Dashboard",All,"Also Invoice Status, Receipt Generation, Ageing-style outstanding (client finance-lite).",Not Started,Arnav,High,Phase 2,Client: Fee collection reports + course-wise profitability later.
11 Dashboard-Reports,Dashboard,Frontend,pages/dashboard/InstitutionDashboard.jsx,Frontend,"WTI-style dashboard home: admissions funnel, student strength, fee collection MTD, upcoming exams, attendance snapshot, pending approvals.",Not Started,Arnav,Critical,Phase 2,Shell/layout already Arnav; widgets call module APIs.
11 Dashboard-Reports,Dashboard,Backend,GET /api/dashboard/summary,Backend,"Aggregates counts Arnav owns (admissions, students, fees); embeds optional precious metrics via HTTP internal calls or shared read models.",Not Started,Arnav,Critical,Phase 2,Agree metric contracts with Precious.
11 Dashboard-Reports,Dashboard,Frontend,Pending tasks / approvals widget,Frontend,"Pending admission approvals, pending fee follow-ups — process visibility per client note.",Not Started,Arnav,High,Phase 2,
